Transaction_ID,Item
1,Eggs
1,Yogurt
1,Diaper
1,Rice
2,Cereal
2,Milk
2,Eggs
2,Vegetables
2,Cheese
2,Fish
3,Fruits
3,Chicken
3,Cereal
3,Diaper
4,Juice
4,Vegetables
4,Milk
4,Pasta
5,Eggs
5,Rice
5,Cheese
6,Chicken
7,Bread
7,Fruits
7,Chicken
7,Butter
7,Juice
8,Butter
8,Diaper
8,Pasta
9,Pasta
9,Butter
9,Milk
9,Diaper
9,Fish
9,Fruits
10,Cheese
11,Pasta
11,Fruits
11,Rice
12,Rice
12,Bread
13,Rice
13,Milk
14,Milk
14,Yogurt
14,Vegetables
14,Diaper
14,Butter
15,Fruits
15,Butter
15,Juice
15,Eggs
16,Cereal
16,Bread
16,Eggs
16,Diaper
16,Fish
16,Fruits
17,Chicken
17,Cheese
17,Milk
17,Pasta
17,Fish
18,Pasta
18,Cheese
18,Juice
18,Rice
18,Diaper
19,Pasta
19,Cheese
20,Fruits
21,Milk
22,Pasta
22,Rice
23,Diaper
23,Yogurt
23,Cheese
23,Cereal
23,Vegetables
24,Juice
24,Chicken
25,Vegetables
25,Fruits
25,Yogurt
26,Cheese
26,Juice
26,Chicken
26,Pasta
26,Vegetables
27,Rice
27,Cheese
27,Bread
28,Juice
28,Cereal
28,Milk
28,Butter
28,Chicken
28,Bread
29,Fish
29,Eggs
29,Chicken
29,Cheese
29,Rice
29,Bread
30,Yogurt
30,Juice
31,Rice
31,Juice
31,Pasta
31,Diaper
31,Eggs
31,Fish
32,Fruits
32,Milk
32,Vegetables
32,Fish
32,Rice
32,Cereal
33,Milk
33,Eggs
33,Pasta
34,Bread
34,Chicken
34,Yogurt
34,Cheese
34,Diaper
35,Pasta
35,Chicken
35,Fruits
35,Butter
35,Cheese
36,Diaper
37,Butter
38,Diaper
38,Rice
39,Chicken
40,Vegetables
40,Fruits
40,Diaper
40,Juice
41,Eggs
41,Cereal
42,Juice
43,Rice
43,Fish
43,Yogurt
43,Cheese
44,Butter
44,Diaper
44,Cheese
45,Bread
45,Cheese
45,Yogurt
45,Chicken
46,Eggs
47,Diaper
47,Juice
47,Cereal
47,Fish
47,Milk
47,Fruits
48,Vegetables
48,Cheese
48,Milk
48,Chicken
49,Yogurt
49,Milk
49,Rice
50,Cheese
50,Milk
50,Eggs
50,Juice
50,Diaper
51,Eggs
52,Fish
52,Diaper
53,Diaper
53,Pasta
53,Bread
53,Juice
54,Cereal
54,Butter
55,Fish
55,Pasta
55,Cheese
55,Juice
56,Vegetables
56,Fish
56,Bread
56,Butter
56,Diaper
56,Rice
57,Fish
57,Rice
57,Eggs
58,Fruits
59,Cheese
59,Juice
59,Diaper
59,Chicken
60,Eggs
60,Butter
61,Yogurt
61,Rice
61,Fish
61,Pasta
61,Cheese
62,Chicken
62,Rice
62,Vegetables
63,Cereal
63,Fruits
63,Milk
63,Butter
63,Yogurt
63,Eggs
64,Chicken
65,Eggs
65,Juice
65,Chicken
65,Bread
66,Eggs
66,Chicken
66,Butter
67,Cheese
67,Cereal
67,Diaper
68,Pasta
68,Chicken
68,Rice
68,Butter
68,Vegetables
68,Diaper
69,Pasta
69,Cheese
69,Vegetables
69,Cereal
69,Diaper
69,Eggs
70,Vegetables
71,Milk
71,Rice
71,Diaper
72,Bread
72,Butter
72,Vegetables
72,Fruits
72,Chicken
73,Rice
74,Fish
74,Vegetables
75,Rice
75,Eggs
76,Butter
76,Pasta
76,Yogurt
76,Bread
77,Pasta
77,Milk
77,Cereal
77,Bread
78,Pasta
79,Fruits
80,Butter
80,Milk
80,Yogurt
81,Chicken
81,Butter
82,Cheese
82,Vegetables
82,Pasta
83,Vegetables
84,Butter
84,Cheese
84,Eggs
84,Milk
85,Fruits
85,Cheese
85,Butter
85,Vegetables
86,Pasta
86,Butter
86,Diaper
86,Fruits
87,Cheese
87,Eggs
88,Chicken
88,Cereal
88,Eggs
88,Fish
89,Bread
89,Yogurt
89,Butter
90,Chicken
90,Yogurt
91,Bread
91,Fish
91,Juice
91,Chicken
92,Rice
92,Vegetables
92,Eggs
92,Fruits
92,Juice
93,Juice
93,Rice
94,Cheese
94,Juice
94,Milk
95,Vegetables
95,Rice
95,Cheese
96,Cereal
96,Vegetables
96,Juice
96,Pasta
97,Fish
97,Cheese
97,Eggs
98,Chicken
98,Cheese
98,Rice
98,Fish
98,Vegetables
99,Pasta
99,Bread
99,Yogurt
99,Rice
99,Diaper
100,Pasta
100,Cereal
100,Butter
100,Chicken
100,Cheese
100,Fish
101,Pasta
101,Fish
101,Rice
101,Vegetables
101,Bread
101,Yogurt
102,Chicken
102,Fruits
102,Vegetables
102,Eggs
103,Vegetables
103,Eggs
104,Yogurt
105,Diaper
106,Milk
106,Cheese
106,Fruits
106,Yogurt
107,Cheese
107,Yogurt
107,Vegetables
107,Juice
107,Bread
107,Eggs
108,Rice
108,Bread
108,Cheese
108,Fruits
108,Chicken
108,Milk
109,Rice
109,Juice
109,Milk
109,Cheese
109,Chicken
110,Pasta
110,Chicken
110,Cheese
111,Rice
111,Diaper
111,Eggs
111,Butter
111,Chicken
111,Cereal
112,Fruits
112,Juice
112,Vegetables
113,Eggs
114,Rice
114,Fruits
114,Butter
114,Milk
115,Eggs
115,Bread
115,Milk
115,Rice
116,Juice
116,Eggs
116,Diaper
116,Chicken
116,Yogurt
116,Cereal
117,Fish
117,Butter
118,Juice
118,Yogurt
118,Chicken
118,Cereal
118,Bread
119,Bread
119,Fruits
120,Chicken
120,Pasta
120,Diaper
120,Rice
121,Cheese
121,Cereal
121,Vegetables
121,Bread
121,Fish
121,Rice
122,Diaper
122,Fish
122,Rice
122,Milk
122,Juice
122,Yogurt
123,Cereal
124,Bread
124,Cereal
124,Rice
124,Chicken
124,Diaper
124,Milk
125,Fish
125,Diaper
125,Cheese
125,Cereal
125,Milk
126,Juice
126,Butter
127,Vegetables
127,Cereal
128,Vegetables
128,Bread
128,Yogurt
128,Cereal
129,Fruits
129,Rice
129,Juice
129,Cereal
129,Eggs
129,Yogurt
130,Eggs
130,Diaper
130,Butter
130,Milk
131,Vegetables
131,Butter
131,Bread
131,Pasta
132,Rice
133,Milk
133,Bread
134,Yogurt
134,Milk
134,Vegetables
134,Fruits
134,Cereal
134,Fish
135,Pasta
135,Yogurt
135,Fish
136,Rice
136,Butter
136,Vegetables
136,Pasta
136,Bread
136,Fruits
137,Diaper
137,Juice
138,Rice
138,Vegetables
138,Fruits
138,Fish
139,Eggs
139,Fruits
139,Vegetables
139,Fish
139,Cheese
139,Chicken
140,Yogurt
140,Juice
140,Cheese
140,Fruits
141,Chicken
141,Milk
141,Rice
141,Diaper
141,Cereal
141,Butter
142,Diaper
142,Juice
142,Yogurt
142,Vegetables
142,Cereal
143,Fish
143,Eggs
143,Chicken
143,Pasta
143,Fruits
144,Vegetables
144,Cereal
144,Pasta
145,Pasta
145,Bread
146,Diaper
146,Cheese
146,Juice
146,Fruits
146,Yogurt
146,Fish
147,Eggs
147,Yogurt
147,Rice
148,Eggs
148,Bread
148,Cereal
148,Yogurt
148,Diaper
149,Eggs
149,Yogurt
149,Butter
150,Rice
150,Fish
150,Diaper
150,Yogurt
150,Chicken
150,Fruits
151,Butter
151,Pasta
151,Juice
151,Bread
151,Milk
151,Fish
152,Pasta
152,Cheese
152,Fish
152,Vegetables
152,Juice
153,Diaper
154,Cheese
154,Pasta
154,Milk
154,Fruits
154,Butter
154,Chicken
155,Yogurt
155,Eggs
155,Milk
156,Butter
156,Diaper
156,Juice
156,Cheese
156,Cereal
157,Cheese
157,Rice
157,Diaper
157,Eggs
158,Cheese
158,Diaper
158,Butter
158,Vegetables
158,Bread
158,Rice
159,Butter
159,Bread
159,Milk
159,Fruits
160,Rice
160,Pasta
160,Butter
161,Juice
161,Bread
161,Chicken
162,Milk
162,Bread
162,Butter
163,Fruits
163,Pasta
163,Fish
164,Bread
164,Fish
164,Cheese
164,Chicken
164,Juice
164,Diaper
165,Cereal
166,Pasta
166,Milk
167,Fish
167,Eggs
167,Cheese
167,Bread
167,Butter
167,Yogurt
168,Pasta
168,Chicken
168,Yogurt
169,Pasta
169,Fruits
169,Butter
170,Juice
171,Juice
171,Rice
171,Pasta
171,Butter
172,Fruits
172,Butter
172,Vegetables
172,Pasta
172,Milk
172,Cheese
173,Bread
173,Eggs
174,Bread
174,Cereal
174,Fish
174,Fruits
174,Eggs
174,Pasta
175,Vegetables
175,Fruits
176,Fish
176,Vegetables
176,Yogurt
176,Bread
176,Cereal
176,Rice
177,Yogurt
177,Chicken
177,Fish
177,Juice
178,Cereal
178,Butter
178,Cheese
178,Juice
178,Fruits
178,Chicken
179,Fish
179,Cereal
179,Juice
179,Rice
180,Cheese
181,Vegetables
181,Chicken
181,Cereal
182,Pasta
182,Butter
182,Juice
182,Chicken
182,Diaper
182,Bread
183,Fish
184,Vegetables
185,Diaper
185,Bread
185,Chicken
186,Pasta
186,Cereal
186,Eggs
187,Pasta
187,Bread
188,Pasta
188,Fish
188,Chicken
188,Diaper
188,Butter
189,Diaper
189,Rice
189,Juice
189,Pasta
190,Cereal
190,Fish
190,Fruits
190,Butter
190,Eggs
191,Diaper
191,Juice
191,Cereal
191,Chicken
191,Bread
191,Eggs
192,Fish
192,Pasta
193,Bread
193,Milk
193,Butter
193,Juice
193,Rice
193,Cheese
194,Chicken
194,Milk
194,Cereal
194,Yogurt
194,Juice
194,Cheese
195,Butter
195,Diaper
195,Chicken
195,Bread
195,Yogurt
195,Vegetables
196,Bread
196,Diaper
196,Fish
197,Cereal
197,Fish
197,Butter
197,Cheese
197,Vegetables
197,Chicken
198,Chicken
198,Butter
198,Milk
198,Fruits
198,Pasta
199,Juice
200,Milk
200,Bread
201,Yogurt
202,Chicken
202,Yogurt
203,Bread
203,Fruits
203,Diaper
203,Milk
204,Juice
204,Fish
205,Diaper
205,Juice
205,Milk
205,Cheese
206,Bread
206,Yogurt
207,Diaper
207,Vegetables
207,Eggs
207,Rice
208,Eggs
208,Cheese
208,Fruits
209,Eggs
209,Butter
209,Fish
210,Fruits
211,Bread
211,Chicken
211,Milk
211,Butter
211,Eggs
211,Cheese
212,Fish
212,Butter
212,Vegetables
212,Juice
212,Cheese
213,Juice
213,Cereal
213,Milk
213,Fruits
213,Fish
213,Vegetables
214,Vegetables
214,Pasta
214,Milk
214,Rice
214,Bread
214,Cheese
215,Pasta
215,Rice
215,Fruits
215,Cheese
215,Chicken
215,Milk
216,Cheese
216,Cereal
216,Milk
216,Vegetables
216,Fish
216,Eggs
217,Fruits
217,Chicken
217,Eggs
217,Juice
217,Butter
218,Milk
219,Rice
219,Eggs
219,Cheese
220,Juice
220,Chicken
220,Cereal
220,Fruits
221,Chicken
221,Cheese
221,Fruits
221,Pasta
221,Fish
221,Rice
222,Cheese
222,Fish
222,Rice
223,Eggs
223,Fish
223,Diaper
223,Chicken
223,Butter
223,Fruits
224,Diaper
225,Rice
225,Diaper
225,Chicken
226,Chicken
227,Butter
228,Fruits
228,Pasta
228,Juice
229,Cheese
229,Butter
229,Cereal
230,Diaper
230,Butter
230,Chicken
230,Fish
230,Juice
230,Milk
231,Fruits
232,Eggs
232,Yogurt
232,Rice
233,Bread
233,Yogurt
233,Rice
234,Eggs
234,Cereal
235,Eggs
235,Chicken
235,Pasta
235,Cheese
235,Bread
235,Diaper
236,Diaper
236,Eggs
236,Milk
236,Chicken
236,Cheese
236,Juice
237,Milk
238,Fruits
238,Juice
238,Eggs
239,Diaper
239,Vegetables
239,Butter
239,Eggs
239,Cheese
240,Eggs
240,Pasta
240,Yogurt
240,Bread
240,Butter
240,Milk
241,Yogurt
241,Fruits
241,Butter
241,Bread
241,Milk
241,Juice
242,Fish
242,Butter
243,Milk
243,Fruits
243,Yogurt
243,Butter
244,Vegetables
244,Eggs
245,Cereal
245,Vegetables
245,Rice
246,Chicken
246,Cheese
246,Juice
246,Bread
246,Milk
246,Butter
247,Milk
247,Pasta
247,Bread
248,Cheese
248,Fruits
248,Milk
248,Butter
248,Vegetables
249,Fruits
249,Butter
249,Bread
249,Diaper
249,Juice
250,Cereal
250,Juice
250,Eggs
250,Vegetables
251,Vegetables
251,Milk
251,Fruits
251,Pasta
252,Juice
252,Butter
252,Eggs
253,Yogurt
253,Pasta
253,Bread
253,Cheese
253,Chicken
254,Vegetables
255,Chicken
255,Cheese
255,Fruits
255,Bread
255,Diaper
256,Yogurt
256,Milk
257,Yogurt
257,Diaper
257,Milk
257,Rice
258,Butter
258,Fruits
258,Milk
258,Cheese
258,Bread
258,Rice
259,Diaper
259,Fruits
260,Bread
260,Cheese
260,Milk
261,Butter
262,Rice
263,Butter
263,Vegetables
264,Milk
264,Yogurt
264,Rice
264,Eggs
264,Cereal
265,Juice
265,Cheese
265,Bread
265,Eggs
266,Juice
266,Rice
267,Cheese
267,Yogurt
267,Juice
267,Fish
267,Eggs
268,Cheese
268,Fruits
268,Butter
268,Cereal
269,Fish
269,Rice
269,Diaper
269,Bread
269,Chicken
270,Milk
270,Cereal
270,Fish
270,Yogurt
271,Vegetables
271,Bread
271,Rice
271,Diaper
271,Pasta
271,Cheese
272,Fish
273,Diaper
273,Cheese
273,Eggs
274,Vegetables
274,Eggs
274,Juice
274,Pasta
274,Milk
275,Juice
275,Bread
275,Vegetables
275,Pasta
275,Fruits
276,Butter
276,Cheese
276,Rice
276,Juice
276,Bread
276,Cereal
277,Pasta
277,Milk
277,Vegetables
278,Pasta
278,Chicken
278,Diaper
278,Butter
278,Bread
278,Milk
279,Eggs
279,Yogurt
279,Diaper
279,Fruits
280,Chicken
281,Cheese
281,Pasta
281,Milk
281,Juice
281,Butter
282,Milk
282,Diaper
282,Vegetables
283,Chicken
283,Milk
283,Fish
283,Diaper
283,Juice
283,Rice
284,Cheese
284,Diaper
285,Juice
285,Milk
285,Fish
285,Chicken
286,Juice
286,Pasta
286,Rice
286,Cheese
287,Milk
288,Vegetables
288,Fruits
288,Cheese
289,Cereal
289,Milk
289,Butter
289,Rice
289,Diaper
290,Vegetables
290,Bread
290,Fish
290,Eggs
290,Rice
290,Pasta
291,Bread
291,Chicken
291,Pasta
291,Vegetables
291,Rice
291,Butter
292,Chicken
292,Eggs
292,Vegetables
293,Eggs
293,Chicken
293,Milk
293,Bread
293,Fish
293,Pasta
294,Vegetables
294,Rice
294,Juice
294,Pasta
294,Fish
294,Bread
295,Vegetables
295,Eggs
295,Pasta
295,Milk
295,Cheese
295,Yogurt
296,Diaper
296,Cereal
297,Fruits
297,Cereal
297,Diaper
298,Butter
298,Yogurt
299,Fruits
299,Diaper
299,Rice
299,Vegetables
299,Bread
300,Butter
300,Yogurt
300,Diaper
300,Rice
300,Cheese
300,Chicken
301,Bread
301,Vegetables
301,Cheese
301,Eggs
302,Eggs
302,Bread
302,Cereal
303,Bread
303,Juice
303,Fruits
304,Bread
304,Eggs
304,Diaper
305,Eggs
305,Diaper
305,Butter
305,Bread
305,Fruits
305,Chicken
306,Cereal
306,Pasta
306,Bread
306,Yogurt
306,Butter
306,Chicken
307,Vegetables
307,Milk
307,Diaper
308,Cereal
309,Chicken
309,Pasta
309,Cereal
310,Cereal
310,Fruits
311,Eggs
311,Chicken
311,Vegetables
312,Fish
313,Fruits
313,Diaper
313,Vegetables
313,Bread
314,Fruits
314,Yogurt
314,Chicken
314,Pasta
315,Butter
316,Eggs
316,Pasta
317,Bread
317,Cereal
317,Pasta
317,Diaper
318,Cheese
318,Vegetables
319,Bread
319,Chicken
319,Milk
319,Cheese
319,Pasta
320,Juice
320,Cereal
320,Butter
320,Fruits
320,Fish
321,Pasta
321,Rice
321,Diaper
321,Cereal
322,Diaper
322,Yogurt
322,Bread
322,Vegetables
322,Cheese
323,Vegetables
323,Fruits
323,Pasta
324,Pasta
324,Milk
324,Rice
325,Milk
325,Bread
325,Fruits
326,Diaper
326,Juice
326,Cheese
326,Yogurt
327,Chicken
327,Fish
327,Pasta
327,Diaper
328,Cereal
328,Diaper
328,Fish
328,Eggs
328,Vegetables
329,Cereal
329,Rice
330,Juice
330,Butter
330,Chicken
330,Pasta
330,Cheese
330,Cereal
331,Eggs
331,Fruits
331,Cereal
331,Diaper
332,Diaper
332,Milk
332,Cheese
332,Eggs
332,Chicken
333,Yogurt
333,Cheese
333,Milk
333,Diaper
333,Fruits
334,Diaper
334,Rice
334,Pasta
334,Butter
334,Cereal
334,Yogurt
335,Cereal
336,Diaper
336,Pasta
336,Chicken
337,Cereal
337,Diaper
337,Eggs
338,Cereal
338,Cheese
339,Diaper
340,Vegetables
340,Bread
340,Chicken
340,Butter
340,Cheese
340,Eggs
341,Butter
341,Juice
341,Yogurt
342,Bread
342,Cereal
342,Eggs
343,Juice
344,Diaper
344,Chicken
344,Vegetables
344,Cereal
344,Fruits
344,Pasta
345,Cheese
345,Eggs
345,Cereal
346,Juice
346,Bread
347,Chicken
347,Diaper
347,Fish
347,Cheese
347,Fruits
348,Cereal
348,Rice
348,Fruits
349,Cheese
349,Butter
349,Diaper
350,Chicken
350,Fruits
351,Pasta
351,Chicken
351,Cereal
352,Milk
352,Butter
352,Diaper
352,Chicken
352,Yogurt
353,Bread
353,Fish
354,Yogurt
354,Cereal
354,Bread
354,Vegetables
355,Eggs
355,Chicken
355,Diaper
355,Fish
355,Cheese
355,Juice
356,Vegetables
356,Milk
357,Eggs
357,Milk
357,Diaper
357,Rice
358,Pasta
358,Chicken
358,Juice
358,Fish
359,Juice
360,Fish
360,Pasta
360,Fruits
360,Cereal
361,Yogurt
362,Eggs
362,Vegetables
362,Chicken
362,Milk
363,Milk
363,Bread
363,Fish
363,Fruits
363,Juice
364,Juice
364,Vegetables
364,Bread
364,Cheese
364,Butter
365,Yogurt
365,Juice
365,Diaper
365,Fruits
365,Bread
